Code,Name,PER,PBR,ROE
2332,クエスト,12.690209,1.269503,0.10808
2334,イオレ,,5.687653,0.02009
2335,キューブシステム,13.717045,1.4276458,
2337,いちご,12.421459,1.7714914,0.14068
2338,クオンタムソリューションズ,,-17.320354,
2340,極楽湯ホールディングス,21.504425,3.3497143,0.16882
2341,アルバイトタイムス,19.845112,1.3137151,0.06722
2342,トランスジェニックグループ,,0.88961077,-0.14701
2344,平安レイサービス,13.1924715,0.8049637,0.0646
2345,クシム,,13.748806,-0.42451
2349,エヌアイデイ,11.12368,1.1006241,0.10467
2351,ＡＳＪ,13.849509,1.0437212,0.08667
2353,日本駐車場開発,18.02097,4.5384784,0.26034
2354,ＹＥ　ＤＩＧＩＴＡＬ,13.441259,1.9901395,0.16946
2359,コア,13.351127,1.6274047,0.15379
2370,メディネット,,1.0352336,-0.69344
2371,カカクコム,21.41288,7.0226517,0.32863998
2373,ケア２１,16.028118,1.382191,0.129
2374,セントケア・ホールディング,2.934142e-06,1.6922411,0.09844
2375,ギグワークス,15.74344,1.5871034,0.22941
2376,サイネックス,25.977654,0.4616003,0.01742
2378,ルネサンス,40.492256,1.5617536,0.04729
2379,ディップ,15.872318,2.5419421,0.16216
2384,ＳＢＳホールディングス,14.00546,1.706203,0.1125
2385,総医研ホールディングス,37.74436,1.0836295,0.02863
2388,ウェッジホールディングス,,0.9656024,-0.16610001
2389,デジタルホールディングス,2.4654832e-06,1.2695073,0.05633
2391,プラネット,19.3037,1.4638131,0.07714
2393,日本ケアサプライ,17.762217,2.04112,0.12474
2395,新日本科学,13.661154,1.2034652,0.07981
2404,鉄人化ホールディングス,17.482517,7.702434,0.57965
2408,ＫＧ情報,16.863,0.9403996,0.07757
2410,キャリアデザインセンター,11.737202,2.9648378,0.27259
2411,ゲンダイエージェンシー,11.695075,1.3967507,0.11689
2413,エムスリー,23.364418,2.5652652,0.12472
2415,ヒューマンホールディングス,6.455763,0.9452241,0.14422
2418,ツカダ・グローバルホールディング,6.5275707,0.83593,0.123409994
2424,ブラス,10.537298,0.759988,0.074200004
2425,ケアサービス,10.857308,0.99989086,0.11739001
2428,ウェルネット,12.330548,1.413208,0.118590005
2429,ワールドホールディングス,7.117505,0.94503003,0.14243001
2432,ディー・エヌ・エー,6.925194,1.2163568,0.09747
2433,博報堂ＤＹホールディングス,24.937086,1.0274101,0.05341
2435,シダー,5.682116,1.3299665,0.31768999
2436,共同ピーアール,10.183657,1.9890531,0.2274
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,,3.5518696,-0.21417
2438,アスカネット,,1.0368661,-0.04772
2440,ぐるなび,177.90697,1.6479967,
2445,タカミヤ,14.686588,0.8140148,
2449,プラップジャパン,10.373093,0.90562946,0.08708
2454,オールアバウト,88.564476,1.3184202,-0.0067299996
2459,アウンコンサルティング,,4.8382573,-0.29719
2461,ファンコミュニケーションズ,23.696203,1.7653583,0.07335
2462,ライク,13.298005,1.7471696,0.13251
2464,Ａｏｂａ‐ＢＢＴ,17.79173,0.9446097,0.03612
2469,ヒビノ,15.649623,2.6362267,0.23327999
2471,エスプール,13.774403,2.1188033,0.13992
2475,ＷＤＢホールディングス,9.3897295,0.9126965,0.09974
2477,手間いらず,15.037465,9.56,0.06313
2479,ジェイテック,10.123352,1.3572623,0.107200004
2480,システム・ロケーション,16.36628,1.4669964,0.098620005
2481,タウンニュース社,9.959584,0.7236376,0.07535
2483,翻訳センター,8.250825,0.88040614,0.09791
2484,出前館,,0.52088124,-0.23591
2485,ティア,12.919505,1.3259509,0.0857
2488,ＪＴＰ,11.086276,2.3683965,0.11047
2489,アドウェイズ,43.65325,0.8071741,0.02076
2491,バリューコマース,21.45713,0.85957897,0.038900003
2492,インフォマート,55.241463,8.74429,0.16656
2493,イーサポートリンク,30.67189,1.2232754,0.03579
2497,ユナイテッド,,1.0714301,-0.07064
2498,オリエンタルコンサルタンツホールディングス,9.661911,1.2847413,0.14713
2499,日本和装ホールディングス,12.5,0.7749001,0.062750004
2501,サッポロホールディングス,48.784275,3.3593867,0.072340004
2502,アサヒグループホールディングス,14.3067465,0.88326424,0.05805
2503,キリンホールディングス,14.224966,1.6319534,0.11389
2531,宝ホールディングス,27.93313,1.4362023,0.03949
2533,オエノンホールディングス,7.8932943,0.92971003,0.119219996
2540,養命酒製造,75.18234,1.140108,0.015520001
2573,北海道コカ・コーラボトリング,34.965034,1.3491567,0.03907
2579,コカ・コーラ　ボトラーズジャパンホールディングス,,1.5088614,-0.11969
2585,ライフドリンク　カンパニー,20.746119,4.744229,0.23965
2586,フルッタフルッタ,24.406048,1.5760112,0.05617
2587,サントリー食品インターナショナル,16.05153,1.0824809,0.08036
2588,プレミアムウォーターホールディングス,17.271524,3.7934966,0.25823
2590,ダイドーグループホールディングス,,1.3288788,-0.39558
2593,伊藤園,25.0,2.0576603,0.01713
2594,キーコーヒー,72.98596,1.3324724,0.010650001
2597,ユニカフェ,21.690811,2.0608177,0.09899
2602,日清オイリオグループ,7.6044397,0.8473951,0.11686
2607,不二製油,34.60106,1.2697763,
2612,かどや製油,16.920668,1.2078482,0.078
2613,Ｊ－オイルミルズ,13.003768,0.6260478,0.03498
2652,まんだらけ,9.662398,3.5632257,0.09157
2653,イオン九州,14.881297,1.5982217,0.09432
2654,アスモ,19.22894,0.7999493,0.04447
2656,ベクターホールディングス,,8.743218,-1.5167799
2659,サンエー,19.531704,1.3325387,0.07381
2664,カワチ薬品,14.124185,0.5619754,0.03799
2666,オートウェーブ,7.8319006,0.68653715,0.04
2667,イメージ　ワン,,2.269093,-0.54605997
2668,タビオ,14.815256,1.5716451,0.11163
2669,カネ美食品,20.202288,1.5162379,0.04168
2670,エービーシー・マート,15.504249,1.8045197,0.12072
2673,夢みつけ隊,15.771812,0.5188993,0.05367
2674,ハードオフコーポレーション,13.071814,1.533827,0.12816
2676,高千穂交易,45.24439,2.2398431,0.0881
2678,アスクル,,1.9439611,-0.15322
2681,ゲオホールディングス,15.748286,0.8013179,0.060289998
2683,魚喜,82.662285,2.8091536,0.033859998
2685,アンドエスティＨＤ,15.360684,1.789768,0.11936
2686,ジーフット,,-5.357143,0.02441
2687,シー・ヴイ・エス・ベイエリア,,0.8071917,-0.30357
2689,オルバヘルスケアホールディングス,10.172994,1.0326365,0.104169995
2692,伊藤忠食品,19.960112,1.3020438,0.07042
2693,ＹＫＴ,51.559254,0.36235908,0.00348
2694,焼肉坂井ホールディングス,,2.4878237,-0.11971
2695,くら寿司,39.36921,2.1291606,0.04163
2698,キャンドゥ,117.647064,4.9832954,0.042579997
2700,木徳神糧,2.9744015,0.80428654,0.30532
2702,日本マクドナルドホールディングス,32.154213,3.8825543,0.12712
2705,大戸屋ホールディングス,46.29691,13.397843,0.29885998
2708,久世,5.899696,0.9970035,0.18271999
2721,ジェイホールディングス,,9.973839,-5.95349
2722,ＩＫホールディングス,12.437028,1.1523628,0.12652001
2726,パルグループホールディングス,0.009440962,3.2277575,0.22409001
2730,エディオン,17.301147,1.0035146,0.06372
2733,あらた,10.080786,0.7931535,0.07383
2734,サーラコーポレーション,11.655369,0.72537535,0.07492
2735,ワッツ,9.652202,0.5984843,0.06318
2736,フェスタリアホールディングス,17.95284,1.3916382,0.08512
2737,トーメンデバイス,12.658228,1.4374057,0.15467
2742,ハローズ,10.460152,1.2041239,0.121309996
2747,北雄ラッキー,35.972904,0.9827825,0.060549997
2749,ＪＰホールディングス,15.899772,2.7541034,
2750,石光商事,8.5470085,0.73019135,0.12267
2751,テンポスホールディングス,25.641027,2.6944883,0.114779994
2752,フジオフードグループ本社,625.7143,6.468993,0.01043
2753,あみやき亭,23.039612,1.3003652,0.057140004
2760,東京エレクトロン　デバイス,13.605442,1.9501643,
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,,10.01388,-2.42922
2763,エフティグループ,6.6446853,1.0563941,0.17684
2764,ひらまつ,,1.7011529,-0.0058099995
2767,円谷フィールズホールディングス,5.1679587,1.4837911,0.31019
2768,双日,11.574126,1.1989304,0.11336
2769,ヴィレッジヴァンガードコーポレーション,,3.0569134,-0.67073995
2776,新都ホールディングス,,1.9388926,0.0996
2778,パレモ・ホールディングス,68.53933,0.92712915,0.013300001
2780,コメ兵ホールディングス,16.977877,1.7208862,0.12589
2782,セリア,22.123894,2.796544,0.12371001
2784,アルフレッサ　ホールディングス,17.856617,0.8869593,0.06875
2788,アップルインターナショナル,5.7601047,0.44021022,0.0785
2789,カルラ,11.049724,1.2124375,0.11482
2790,ナフコ,80.65586,0.34922904,0.00357
2791,大黒天物産,11.990527,1.0711023,0.07804
2792,ハニーズホールディングス,12.135527,0.88052565,0.06879
2795,日本プリメックス,12.484817,0.5824504,0.041479997
2796,ファーマライズホールディングス,,0.8946021,-0.01679
2798,ワイズテーブルコーポレーション,47.61752,11.098273,0.26299
2801,キッコーマン,23.9819,2.5221279,0.1104
2802,味の素,121.94082,5.928618,0.10297
2804,ブルドックソース,9.578663,0.9214561,0.10389
2805,ヱスビー食品,14.947589,1.2376935,0.091730006
2806,ユタカフーズ,23.5281,0.6358392,0.02152
2809,キユーピー,17.888723,1.6751173,0.07763
2810,ハウス食品グループ本社,22.988676,0.9642551,0.041929998
2811,カゴメ,17.064476,1.3125243,0.075279996
2813,和弘食品,9.107468,0.9880852,0.12189
2814,佐藤食品工業,16.0,0.26113254,0.033800002
2815,アリアケジャパン,17.54386,1.3873132,0.07216
2816,ダイショー,45.252655,2.0921996,0.09382
2818,ピエトロ,,1.930216,-0.0107700005
2819,エバラ食品工業,17.82541,0.67832524,0.04833
2820,やまみ,16.286583,2.6968513,0.17607
2831,はごろもフーズ,13.089204,0.6908519,0.0572
2871,ニチレイ,18.621191,1.7540245,0.09810001
2872,セイヒョー,263.28503,2.0405185,0.0076
2874,横浜冷凍,50.76097,1.2148646,0.03824
2875,東洋水産,17.123396,2.08103,0.13028
2876,デルソーレ,,1.0882806,0.07056
2877,日東ベスト,17.920624,0.5461926,0.028350001
2882,イートアンドホールディングス,60.982307,2.0294828,0.031040002
2883,大冷,,1.3421148,-0.07297
